showDate	HolidayStatus	venue name	venue city	venue state	venue country	venue capacity
6/15/2023	0	Levitt Pavillion	Denver	CO	United States	3353
6/18/2023	2	Germania Insurance Amphitheater	Austin	TX	United States	14000
6/21/2023	0	Ithink Financial Amphitheatre	West Palm Beach	FL	United States	25000
6/22/2023	0	Midflorida Credit Union Amphitheatre	Tampa	FL	United States	20000
6/25/2023	0	Firstbank Amphitheater	Franklin	TN	United States	7500
6/29/2023	0	Ruoff Home Mortgage Music Center	Noblesville	IN	United States	24000
7/6/2023	0	Pine Knob Music Theatre	Clarkston	MI	United States	15274
7/8/2023	0	Broadview Stage At Spac	Saratoga Springs	NY	United States	25000
7/10/2023	0	Central Park - Rumsey Playfield	New York City	NY	United States	5500
7/14/2023	0	The Mann Center For The Performing Arts	Philadelphia	PA	United States	10000
11/15/2023	0	Mcmenamin'S Crystal Ballroom	Portland	OR	United States	1200
11/20/2023	0	Cain'S Ballroom	Tulsa	OK	United States	1800
11/21/2023	0	South Side Ballroom	Dallas	TX	United States	4000
11/22/2023	0	Acl Live	Austin	TX	United States	2750
11/27/2023	0	The Sound	Del Mar	CA	United States	8000
4/25/2023	0	Arizona Financial Theatre	Phoenix	AZ	United States	5000
5/11/2023	0	The Met Philadelphia	Philadelphia	PA	United States	3500
5/19/2023	0	The Orpheum Theatre	Minneapolis	MN	United States	4173
5/30/2023	0	Bellco Theatre	Denver	CO	United States	5000
6/12/2023	0	Paramount Theatre	Seattle	WA	United States	3040
1/7/2022	0	Encore Theater At Wynn Las Vegas	Las Vegas	NV	United States	4310
3/28/2022	0	Mvp Arena	Albany	NY	United States	17000
11/14/2023	0	Buckhead Theatre	Atlanta	GA	United States	1800
11/16/2023	0	The National	Richmond	VA	United States	1000
12/17/2023	0	Little Caesars Arena	Detroit	MI	United States	22000
8/25/2022	0	Doug Fir Lounge	Portland	OR	United States	808
8/26/2022	0	The Crocodile	Seattle	WA	United States	808
8/28/2022	0	Brookside At The Rose Bowl	Pasadena	CA	United States	808
8/30/2022	0	Fine Line Music Cafe	Minneapolis	MN	United States	650
8/31/2022	0	Thalia Hall	Chicago	IL	United States	808
9/3/2022	2	Mahall'S 20 Lanes	Lakewood	OH	United States	808
10/10/2022	1	Red Flag	St. Louis	MO	United States	850
10/12/2022	0	Headliners Music Hall	Louisville	KY	United States	1000
5/15/2023	0	Irving Plaza	New York City	NY	United States	1961
5/22/2023	0	Bell'S Eccentric Cafe	Kalamazoo	MI	United States	370
6/4/2023	0	Toulouse Theatre	New Orleans	LA	United States	750
2/17/2023	2	Bluebird Theater	Denver	CO	United States	550
2/18/2023	2	Aggie Theatre	Fort Collins	CO	United States	37000
3/1/2023	0	The Fillmore	San Francisco	CA	United States	1426
11/10/2022	0	Terminal West	Atlanta	GA	United States	1200
11/11/2022	1	The Basement East	Nashville	TN	United States	600
11/12/2022	2	The Grey Eagle Tavern & Music Hall	Asheville	NC	United States	550
11/13/2022	2	The Camel	Richmond	VA	United States	400
11/15/2022	0	Asbury Lanes	Asbury Park	NJ	United States	700
